sentence,difficulty
"Here is one of the least obscure: ""The more we become masters of the biosphere, the more we become dependent on it; the more we degrade it, the more we degrade our lives5.",C2
"This is the start of troubles that continue and extend to the rest of the territory throughout the month of September the famous ""September days"" amplified the refusal of Guillaume 1st to consider the claims of the insurgents",B2
The girls had made red fruits necklaces that looked like pearls.,B2
I stay with you.,A1
An income therefore becomes a necessity so that man can access the satisfaction of having met his desires,C2
You eat the berries as soon as you picked them,C2
"Well, we are all overwhelmed what.",A1
"A little boy: well three in one nest and in the other, there are two",A2
I was in good shape all morning.,A2
"The computer can also respond to interruptions that allow it to execute specific response programs to each, then resume the sequential execution of the interrupted program.",C2
It rained and I waited for the bus.,A2
"In other cases, these are relative limits, based on a reference population growth rate, also valid only excluding centers or weighted depending on the degree of centrality.",C2
It's good !,A1
"In 2007, less than 8% of companies in companies were the subject of selective collection.",B2
The doctors of donors will gladly advise you in such a case will inform you in relation to blood donations.,C1
The most worrying is that Scandinavia had already broken heat records during the summer of 2018,A2
I like ski.,A1
"""Unfortunately, it now seems obvious that there is no way to obtain a confirmation,"" wrote Neera Tanden to Joe Biden by removing his candidacy",B2
Why does the chick find himself alone in the forest?,A1
What day was she born?,A1
"There are indeed, human beings who have a large amount of power and which force humanity to work by creating a vicious circle which does work a necessity to access its own desires",C2
A bite of: This expression refers to the quantity of a food that is put in the mouth at once.,B1
"If you respected the indications more seriously, you would find your path more easily through these alleys.",B2
"As soon as Julie had discovered the truth, she was furious",C2
Battery when we need comfort most,A2
"The train, in its time, was also feared.Brigitte Munier Robots arouse the enthusiasm of Westerners, but also their anxiety: instead of conceiving them as simple tools or, in the Japanese manner, like auxiliary friendly, they fear competitors threatening their future.",C1
I just moved to my new house.,A2
"And this year, it scrolls!",B1
"Given this configuration, this area is not very suitable for field measures to limit the dissemination of land countryside;The road axes do not represent a very strong barrier for this species, one can also think that such a result is an artifact due to the artificial cut of a single prairie stain.",C1
"After careful thinking, the European Commission had a brilliant idea: to tackle a new project, which had hitherto been bizarrely escaped its legendary sagacity.",C1
"With experience, the remote seller can become a host of a remote charter, team supervisor, platform manager.",B1
"And you, what are you going to do?",A2
The stock market valuations of Internet companies like Amazon,C2
"On others, we heard a series of detonations, while protesters chanted: ""Our revolt must succeed"".",C1
Baby-boomers are convinced: everything can start again at 50.,C1
"Nothing was so beautiful, so lifting, so brilliant, so well ordered that the two armies.",B1
What's your name ?,A1
"Larged by the European probe Rosetta, the little robot landed on Wednesday at the end of the afternoon on the nucleus of the Tchourioumov-Guérassimenko comet, a first in space history, late Wednesday.",B2
"She hung her laundry on the file of a chair, she remained standing, turning, examining the furniture, struck with such stupor, that her tears no longer flowed;He had a penny on the four under guarded to wash it.Then, hearing laughing at the Étienne and Claude window, already consoled, she approached, took their heads under her arms, forgot herself in front of this gray road, where she had seen, in the morning, awaken the working people, the giant work of Paris;At this hour, the pavement heated by the jobs of the day lit a fiery reverberation above the city, behind the grant wall;It was on this pavement, in this air of furnace, that it was thrown by itself with the little ones and she put on a look at the exterior boulevards, on the right, on the left, stopping at the two ends, taken fromA deaf terror, as if his life, now, was going to hold there, between a slaughterhouse and a hospital.",C2
"The serum, which has suffered from comparison with its competitors Pfizer and Moderna, is now considered as effective in preventing the risk of hospitalization.",C1
"I have identified three fundamental robot fears: the instinctive fear of metal against the flesh, societal fear, almost desperate of the robot which will steal the work of man, and, finally, the fear of identity to see the robot surpass usintellectual or other capacities.",C2
But others may prefer the assassin of chess or the Annals of Kangaroo (Editions du Kangarou).,C2
Will you hike?,B1
There are more than 50 French -speaking countries!,A1
They already have the obligation to bring them home.,B1
"Another: yes, they have been given names",A2
You will join your form the supporting documents and documents in digital format.,B2
"Thank you, have a good trip.",A1
"This gesture, almost insensitive, made him run, from head to toe, a big thrill on the skin, and, turning strongly, he threw himself on her, looking for his mouth with his lips and the bare flesh with his hands.",C2
He clabaude with the esgourdes of the brown badgers and the twisted pasteurized.,C2
"With his new fourteen -year -old partner his youngest, he says ""Living a Renaissance"".",C1
"Between those who swear by the introduction of computer science in compulsory education, and those who are afraid that the primary will be transformed into a large school of computer science, there are nevertheless avenues to initiate teachersAnd promote a passage from extracurricular to school, without having to expect a reform of the common base which will take years.",C2
"Among the actors of fair trade, we must distinguish ""labeling"" organizations, which certify importation channels by product, and importers - wholesalers, retailers or stores of shops, like craftsmen of the world - who have their own contacts withThe producers and self -control, for lack of better.",C1
It can therefore open other thoughts and ultimately become very rewarding.,B2
"This peasant cried and claimed that he had been taken everything;Fabrice gave him a shield, and he found oats.",B2
"The first limit is that the instruments of spatial contingation taken into account give an idea of the ""potential"" mastery of urbanization, a master's degree derived from the possibilities provided by the legal and strategic framework of which each canton has set up.",C2
The little cat pleased my parents,A2
To protect themselves against the alteration of the data and to be certain that it has not been modified during their storage or their processing contributes to the quality of the decision-making based on them.,C2
"[.] We are players/played3 "".",B2
"When I read, I discovered new surprising things about the tenants who occupied the apartment.",B1
You said the only smart thing!,A2
My friend does not answer the phone.,A1
My brother Patrice is younger than me,A2
"They are on vacation, it is only us on this part of the island.",B1
"When there are clouds with falling snow, it is because it will snow and there can be fog, risk of freezing, ice and the temperature will be very low",B1
"A staircase led us to a large height of height that went around the building, serving a succession of offices.",C2
"Whether you are looking for a simple ad or a recruiter, you are sure not to miss any job offer thanks to our personalized alert system.",B2
"So it cost us money, she gets angry.",B1
What is your name ?,A1
"Fabrice, barely elderly, was very well represented the head of the house.",B2
"Yes, I have been in Paris for barely twenty days.",A1
"Learning the code and more broadly of a general digital culture at school is a measurement for a long time required by the Academy of Sciences, supported by actors who count in the digital sector, such as the CNIL or the National Councildigital, and which even appears in a bill of the UMP Laure deputy of the Raudière.",C2
Why not have given the towel when you already had the plans?,B1
"When I come back, I ask my parents if I can call you to get you again.",A2
"The important thing, of course, for European taxpayers who would like to cancel their debt, is that each of the creditors, creditors be treated in the same way.",B2
"Even the Burmese ambassador to the United Nations, Kyaw Moe Tun, broke spectacularly with the putschist generals last week by calling for ""putting an end to the coup"".",C1
The director would have given new instructions to the staff.,B2
Your eyes observe me.,C2
Many authors have speculated on the various aspects of Leonardo's personality.,C1
"The consequences on nature are serious, especially on the oceans which, according to the American Review Science, contain more than 110 million tonnes of plastic waste.",B2
"If seven million city dwellers dream of remaking their lives in the fields, not all of them take action.""There is always a trigger event,"" notes the director to change everything.",B2
"My father, although he strictly observed external conveniences, quite frequently allowed himself light remarks on love bonds: he looked at them as amusements, if not allowed, at least excusable, and considered marriage alone in a serious relationship.",C2
"After all, what does she offer her apart from boredom and a large ball of anxiety in the hollow of the belly?",A2
Their adjoining pavilion in Paris was practically new when they had bought it.,B2
Galician emigration underpins the evolution of the population and explains it largely.,C1
These lunas are based in nature to be almost invisible.,C1
Men believe they are free when they are forced or determined by their nature,C2
It was necessary to radically change the course by choosing the quality kitchen accessible to the greatest number instead of which we fell back on safe values now obsolete and indigestible.,B2
"Our prophecies say that as long as there are wild bison, we will survive.",C1
"My name is Camille and when I was a child, I had dreams in my head",A2
"Reaffirming that the Senate had not delivered to any blackmail unlike the allegations of the rapporteur for the National Assembly, he said, on the contrary, that the position of the High Assembly was a coherent and constant conception of the company.",C1
"A few shots were still leaving, spaced, in the middle of the softened laughter, conversations that were granted in a gluttonous noise of jaws;While the steam engine, going its train, without rest or truce, seemed to raise its voice, vibrant, snoring, filling the immense room.But not one of the women heard it;It was like the very breathing of the wash house, an ardent breath with the beams of the ceiling the eternal fog that floated.The heat became intolerable;Sun Rais entered the left, by the high windows, lighting the smoking vapors of opaling tablecloths, a pink gray and a very tender blue gray;And, as complaints rose, the Charles boy went from one window to another, pulled large canvas blinds;Then he went on the other side, on the side of the shadows, and opened vasistas.",C2
What happiness!,A2
We seem to forget that the staff in the school environment already applies this measure.,B2
"An association of promotion and development of online learning notes that if the calculator has ""supplanted mental calculation including for basic operations, and that the use of a computer connected to the Internet could easily replace part of ourMemory, basic operations have been stored upstream and it is thanks to this assimilation of basic knowledge that the learner can use the calculator "".",C1
All except a small bird.,A1
His health has deteriorated due to severe infection and his days are counted.,B2
The thing has just been certified.,B1
The news has caused a stir: this case of curfew actually hides a deeper anxiety.,B1
I am pleased to announce that your request for registration at the University of Strasbourg in the first year of Master Sciences and Society was accepted,B1
"A large majority of French people are favorable to the modification of the calculation of the retirement of civil servants within the framework of the reform in preparation, according to a survey published Friday",C2
"Also, the happy young people succeed in buying their autonomy and tranquility by a success in high school which does not devour them.",B2
"Once he has finished everything, Théo can finally go and have fun before dinner with his parents.",A2
"The fifties is a good age: we gain in depth and in kindness, notes Philippe Wattier.",C1
The few figures published to date give an idea of the degradation of the climate between students of both sexes.,C1
"But a difference appears at the end of school courses, the boys taking an advantage over girls in the latter area.",B2
Green for example is the color of the grass and the leaves of the trees.,A1
She doesn't look like any of the girls I know.,A2
"The liquid masses transport the largest known species of mammals, and perhaps they conceal molluscs of an incomparable size, frightening crustaceans to contemplate, as would be a hundred meter lobsters or crabs weighing two hundred tonnes!",B2
"It is clear that the gap is widening between the developing countries which, gradually, come out of the chronic shortage, and those which stagnate or regress in their fight against hunger.",C1
"An eighth edition dominated by the duel at the top with Alex Thomson, a chase carried out by Armel since November 23, forty-seven days of high tension that end today",C1
Why can't we enter the room?,A1
See you soon.,A2
"It was this comparison, tacitly and tirelessly repeated in the same canvas, which introduced this powerful and multifaceted unity there, cause, sometimes not clearly seen by them, of the enthusiasm that Elstir's painting excited in some amateurs.",C2
Be serious,B2
Blessed the quidam that this is rid of this original fear of failing and making false,C2
I take the train.,A1
"It is in his letter to Schuller, extracted from his correspondence, that Spinoza denounces the illusion of free will",C2
I have my breakfast in the kitchen.,A1
It happens to do this from this way from time to time.,A2
"While during the Paleolithic, the diffusion had split the listening into small groups, the trend since the end of the last glaciation is to thicken relations in the old world, by increasing the workforce and by weaving ofInterconnections.",C2
"However, demographic growth mainly concerns developing countries, which today experience problems of undernourishment and poor diet.",C1
I am in my bedroom.,A1
An undeniable serenity was reflected in its features.,C2
The day of the year corresponds to January 1.,A1
"Being keen on art, Yves Saint Laurent has constituted, over the years, an important collection of precious objects and paintings that have inspired some of his creations.",C1
They followed a hollow path dominated on both sides an embankment six feet high.,C2
I don't understand.,A1
"But, from that moment, she no longer listened;And the guest choir, the stage of Ashton and his valet, the Grand Duo in a major Ré, everything passed for her in the distance, as if the instruments had become less sound and the characters more remote;She remembered the parts of cards at the pharmacist, and the walk in the nanny, the readings under the arbor, the tête-à-tête by the fire, all this poor love so calm and so long, so discreet, so tender, and that she had forgotten, however.",C2
"And our minds that receive the instructions from these organs, variously impressed, understand, analyze and judge as if each of us belonged to another breed.",C1
"Perhaps too concrete after the time of the dream.No terminus seems, for the writer, to be able to justify having endured so much suffering, nor encourage to break with the time of the vagrancy.",C2
"""We explore the best legal path, probably via the inter -American system, invoking the 1948 human rights declaration.",C1
"In this account, language courses in college could be profitably replaced by sessions for memorizing the directory",C2
I prefer another jewel.,A1
He has no jacket,A1
Another drawback to this ban is the risk of depriving adolescents of learning on the reasoned use of the Internet and social networks.,B2
The massacre is commemorated on the flag of the city of Chicago by its first red star,B1
I can't find the rue du Marché.,A1
"Fruit of a thought developed since the Renaissance, individualism is a social project in which everyone should find the best conditions of their realization and their development.",C1
"This year, no less than 12 million students have returned to school.",A2
"Sébastien Granet and Hélène Lavoie, the chef, welcomed us despite a busy visitors bus",C2
Parents who have trouble cutting the cord are surprised that their children prefer to connect their vocal box and do not answer their calls.,B2
"This is why we ask today that the President of the Republic holds his word and submitted, 'without filter', the proposals of the Convention in the referendum, in parliament or with direct regulatory application.",C1
I can't find my home keys.,A1
"Industrialists pollute water, air and floors with their toxic products.",B2
He puts his most beautiful costume and his hat,B1
"First, the last presidential election, where the vote for the National Front was as much the work of young voters as of their elders.",B2
"According to a survey published last May by BVA (French Surveration Society) and the Syntec Digital (Professional Federation of the IT sector) favorable to the measurement, 87 % of French people even agree for the IT programming to be taught at theSchool (24 % from primary school, 41 % from college).",C2
The suburban parents organized themselves for the homework of children.,A2
You are waiting for the surprise that your parents had promised you,C2
"The duo does not have much in common, apart from his relatively conservative positions, which earned him the wrath of progressives.",B2
"However, out of the 6,000 languages that currently exist worldwide, half has less than 10,000 speakers and a quarter less than 1,000.",C1
"Passers -by seem less in a hurry, and linger more easily in front of a storefront or on the shelves.",B2
Who owns the dog who barks night and day?,B1
She can speak English and Spanish,A1
This phenomenon is the appearance of an unprecedented generation.,B2
"After the luxury atmosphere, here it is like a quiet village",B1
"Figures taken from one of the rare surveys on the subject, carried out in 2000 (published in 2001) by the Institute of Research on the Economy of Education with parents of 2,500 children of the Academy.",C2
Monet painted this portrait filled with sensuality and heavy with symbolism.,C1
She thinks of him.,A1
"Yes, the hurricane hit earth last night in northern Nicaragua, it then extended to several central American countries",B1
I just moved to my new house,A2
"Anyway, everyone knows that to choose their ideal accommodation, it can take several months.",B1
"Among the inhabitants of the region, there are those who want to come back and those who do not want",A2
We provide experience and theoretical arguments in favor of intramolecular mechanism.,C2
"We choose the date, the place and the project that interest us, we pay and we leave!",B1
"In the countryside, it's different!",A2
Make groups of three people.,A1
"The room was cracked under the bravos;The whole stutte was started again;The lovers spoke of the flowers of their grave, oaths, exile, fatality, hopes, and when they pushed the final goodbye, Emma threw a keen cry, which merged with the vibration of the last agreements.",C2
The president promised that he would hold all of his promises.,B1
What are you going to do tomorrow?,B1
Where is the supermarket?,A1
"He gave this leaf to the lark, and ordered him to drop it on the head of the dragon.",A2
I advise you to listen to this story twice before moving on.,A2
"After 22 years of Parisian life, this former designer-graphist decided to devote himself to his lifelong passion: cooking",C1
I don't want to see him anymore because we argued the last time we saw each other.,A2
"In France, if I speak English to my son, Mathias, he rather replied in French.",B1
We eat them together on Saturday evening.,A1
"It means ""firefighters""",C1
The sixties are young.,B2
"And the old chef is always right, because it is the only one who speaks to the gods.",B1
I tried to reach you an hour ago.,A2
This requires equipment and enough space.,B2
I am thirsty.,A1
Leonardo da Vinci has had many friends who are recognized in their respective fields or have had an important influence on history.,B2
"The incarnation puts us in the presence of the immutable which is by itself something general;And this immutable wearing the character of individuality, this very character becomes something universal.",C2
Do you have a reduction?,A1
"I don't like rain, especially during the holidays.",A1
I will be delighted to welcome you.,A2
The little cat pleases my parents.,A2
"As the child separated from his mother finds in his ""comforter"" a way to reassure himself, the smartphone, transitional object, would he not allow to fight against frustrations and negative affects caused by the social world?",C2
Twitter will ban users in the event of repeated disinformation on vaccines.,B2
"It is, more generally and indisputably, the best player in the world.",B1
"This ""end of the big stories"" is largely that where the places were classified in stages - the succession of Marxist production methods represented the most formalized version, but talking about underdevelopment or takeoff was part of the same evolutionary paradigm.",C2
"Here, work is a divine punishment, imposed by God on men to punish them with their disobedience",C2
"Even without necessarily considering themselves as a ""cyberaddict"", everyone can draw inspiration from these techniques to draw advice on them.",C2
They are not expensive,A1
"I know that she lives alone with her father, but I never asked her why.",B1
"These two stages are not characterized the difficulty experienced by the couple in front of the choices imposed by the education of their children (school, religion, language.).",C2
"Thus the unalterable patience of teacher robots in North Korea and Japan is suitable for autistic children, but no one knows how the other children will evolve who do not learn to compose with the moods of a human teacher.",C1
The scientific community does not appreciate the presence of women.,B2
Old generations are much more conservative than young generations.,B2
Are you at home ?,A1
When to meet them?,A2
"Between those who swear by the introduction of computers as compulsory education, and those who are afraid that the primary will be transformed into a prep at School 42, there are nevertheless avenues to initiate teachersAnd promote a passage from extracurricular to school, without having to expect a reform of the common base which will take years.",C2
An emergency message for firefighters has just fallen:,A2
So I was a high school student and firefighter at the same time.,A2
An art journalist Press interviewed Agathe on the performance in which she participated.,B2
I don't think children will succeed.,A2
It is true that they are very good but I am afraid that he falls sick,B1
"It's okay for Saturday, I come with my sister Katrine.",A1
"Cyanobacteria are distinguished from bacteria by the presence of chlorophyll A and water -soluble accessory pigments, red and blue phycobilines.",C1
"These will only influence scientific research towards the middle of the 17th century: and it can be, it seems to me, to attribute to the great naturalist Réaumur the merit of having drawn the first experimental consequences in his research on the extensionlife in insects.",C2
"Even at university, studies are too focused and only 5 % of students who have a doctorate will occupy an academic function.",C2
"And if drinking hot gives hot, it is an evil for a good because the high temperature of the liquid increases the internal temperature of the body and thus stimulates perspiration.",B1
"In the evening, you have to go back by taking the same path as in the morning",A2
I'm really more in the flow,A2
The elastic was distended.,B1
This author so read for his impertinent grammar also offers.Games to read quickly (Retz),C2
Similar customs have once existed in particular in Finistère: children had fun digging beets at the time of All Saints' Day to scare people in the vicinity,B2
"She looks like a baby tiger, but it's a tiger who is very afraid.",A2
"Many indicators allow him to follow the evolution of the situation, and as the epidemic spreads, new tools become necessary to have a global vision of the situation.",C1
Alice has a dog.,A1
A rolling stone gathers no moss,C1
She was not here.,A1
Answers to the questions you ask about yourself and others.,A2
"However, the service manager confirmed to us that the conditions for receiving and issuing your administrative documents was respected according to the standards established by our ministry",C2
All young people?,A2
"He had taken his beautiful green suitcase which he has been carrying around for twenty years, to spend five days of vacation near Vannes at his old friend Sylvaine whom he saw a lot before living in Valencienne",B1
"Then, we will go to the cinema in the neighborhood which organizes special sessions every year",C1
The results of two studies on metrics used by companies to assess their intellectual capital,C2
The whole city has illuminated around the Christmas market which enchants passers -by from its illuminations warming hearts in the cold winter,B2
"If you are interested, call me.",A1
"Retirement, the quinquas of today imagine it active, necessarily active.",C1
My father had a change to come to work in Paris.,A1
"You can also go to theater, museums or cinema",A1
"I'm still in the office, I'm going to come back later.",A1
We're going to eat in the garden.,A1
"He would have emptied an entire barrel, it seemed to him;He would have eaten a beef, strangled a lion.",B2
"A sheet taken from a tree of paradise, on which is written a word in gold letters by the eternal Father.",A2
"Don't worry, you're going to get used to your new life quickly.",A2
Social networks are the subject of an amazing paradox.,B2
"This is a cultural enrichment, because the child can then open, through this different language, to typological features present in many other languages, on which French Breton bilingualism offers indirect access",C2
You studied well and you succeeded easily.,A2
The newspaper did not explain how this prisoner escaped.,B1
"He doesn't know her well, so he asks his other colleagues",A1
The anecdote is revealing.,B2
"This is the year when the hundreds of thousands of baby boomers, born during the 1946 birthday, will retire.",B2
"To go there, go down to the Louvre museum station, turn right and continue straight",A1
The originality of the mechanism is to use photons and convert them into chemical energy which is found in the binding energy of carbon and hydrogen atoms in the carbohydrates formed.,C1
"In addition, 42 % of adolescents say they would be ""devastated"" if they were to leave their home for several days without their phone.",B2
"And you, are you still a cook?",A1
"By mixing them, you can form other colors.Green for example is the color of the grass and the leaves of the trees.",B1
"Finally, according to the High Public Health Council, the ""places broadcasting amplified music"" must not exceed the average level of 105 dB for fifteen minutes, which is rarely respected.",B2
"The debts noted at the individual level are jointly attributed to all members of the household, the disseminated results thus indicating the percentages of the population living in a household with the type of debt considered.",C1
She has an thankless physique.,B1
The Grand Meaulnes threw his hat on the ground and I saw that he had his hair completely ras like a peasant.,B2
"In 1985, the Japanese economist Ohmae Kenichi invented the convenient formula of ""triad"" to describe the new polarization of the world.",C1
The study of the influence of short branched chains on the metabolism of xenobiotics is developed in two parts.,C2
The way in which the world was built from great discoveries is therefore largely responsible for its contemporary geography.,C2
"""I suffered them, and I made them undergo to my children, until I dare to get rid of it, sums up this inventor of more fun products",C2
"It has become common to deplore that France has acquired the place of European champion of compulsory levies, an expression which includes state taxes, local taxes, taxes and social security contributions: the share of the gross domestic product (GDP) that the authorities take the national wealth reached 48, 4 %, while the average of Europe is 40, 2 %.",C2
No net will prevent the Atlantic algae from sailing and drawing their flavor from the waters they are going through.,B2
"Once their project is successful, they speak of freedom, harmony, rebirth.",C1
"It is true that Pierre has fewer books than his friends, but hers are better.",A2
You are one of Zoé's friends.,A1
"Each of us therefore simply makes an illusion of the world, poetic, sentimental, joyful, melancholy, dirty or dismal illusion depending on its nature.",C1
"They lunch face to face, looking at each other and smiling constantly, occupied only with them, all wrapped in the sweet charm of a tenderness that begins.",C1
She works in the field of computer science too?,A1
"An action can be envisaged, notwithstanding doubts remaining about the causal link.",C2
"We can show the new father as an example for other less involved fathers, but without making it an object of curiosity or an absolute hero to which a statue should be drawn.",B2
European standards are absurd and suffocate us.,B2
Mr. Cruchon has just given an answer to our question.,A2
It is possible to cycle in a park around a fortified citadel.,A2
She hasn't worked here for two weeks.,A2
Let us therefore not seek insurance and firmness.,B2
Young people are less subject to moral imperatives than to those of success.,B2
Jean has a girlfriend.,A1
"Senators elected in the majority ballot who accept government functions are replaced, until the expiration of a month following the cessation of these functions, by elected people at the same time as them for this purpose.",C1
"The Latin etymology of the word work, ""tripalium"", means ""instrument of torture""",C2
"Beyond the aesthetic inconvenience, this waste threatens half of the sea birds and at least 200 species of fish, crustaceans and mammals living in the oceans because it confuses this waste with food.",B2
"They promised me to make me discover all London: we will visit museums, monuments and parks",A1
"For Catherine Down, it is a relief not to have to cross this test alone, even if the idea of sharing her little studio first anxious.",B1
"Know here that AMPAVID is the mare when the stallion penetrates it, impavid and, yet, we are not aware that the stallion's rod is worthy of esteem when it leaves its sheath.",C2
The children did not want to work their homework after school.,A2
(Note that learning French grammar obeys the same objectives.) It is perfectly known that the only viable method to learn a foreign language is immersion,C2
We thank you for traveling to the France Air company.,A1
"An association of promotion and development of online learning notes that if the calculator has supplanted mental calculation including for basic operations, and that the use of a computer connected to the Internet could easily replace part of our memory, basic operations have been stored upstream and it is thanks to this assimilation of basic knowledge that the learner can use the calculator.",B2
They created a new modern society on the ruins of ancient civilization.,C1
"""I will let you go out only on condition that you solemnly swore that you will not reveal to anyone where you slept, nor how you have entered the snake cave!""said the king.",B1
The lake is really beautiful and I do a lot of sport.,A2
He plays the guitar in a bar.,A1
"Inside my house, there is a large living room with a table and four chairs to welcome my friends.",A2
"A beautiful tight dress, she wants to highlight her shapes",C1
He told us that he had finished his film yesterday and that he was going to trade a new one in two weeks.,B1
"Even if the French Revolution was already underway, the symbolic capture of July fortress, which had only 7 prisoners at the time, remains the key event of the revolt",B2
"For weeks, the White House had courted a handful of republican senators and moderate democrats who today hold the power to block, or to save, its major projects.",B2
"Small, replet and haughty shy, he had a slightly prominent belly, whose overhang offered a ascending slope which highlighted the buttons of his vest and his pants, marking the exact environment of his body of this obstetric line thatSee on the fruits: the arc which is the inevitable ransom of heavy shot of Burgundy, Schlagsahne and beer.",C2
"Admittedly, the individual, active and voluntary, is the only initiator of his retraining.",C1
Do you want me to look with you?,A2
"Every Tuesday, he goes to football training.",A1
The holidays are approaching and I would like to see you!,A2
"The old woman nodded, under her large old -fashioned cornette, whose curved wings enveloped her almost all of their white muslin stuck",C2
Once again.,A1
"To go to my room, I have to climb a staircase",A2
"In this situation while looking for other possible factors of illness, an assessment of the ferritin level, as well as other tests can be judicious.",C1
"The governor of the colony, William Bradford, then decided to proclaim a day of thanks and action of grace to thank God for having given them an ultimately so welcoming land with so helpful natives",B2
Thus a hundred automatic cameras installed on French soil permanently monitor the start of the school year in the atmosphere.,C1
"The next day, the assistant phoned me to find out if I was available on Monday.",B1
"In the 1990s, Valéry Giscard d'Estaing undertook for Europe, but in 2005, his project of European constitution was rejected in France by referendum ""no"" prevailing it largely",C1
How I survived a narcissistic perverse,B2
She is looking for a receptionist work in a hotel,A1
"If the multiplicity of cultures is a necessary condition for a successful human development, then the preservation of linguistic diversity is essential, since written and oral languages are the main mode of transmission of cultures.",C1
"Afterwards, I'm going to the kitchen and I drink my coffee",A1
"I'm not going to go with them, since they have already left!",A2
"The vast majority of professional waste is mixed with rubble or packaging, and buried in the ground for lack of isolated for their treatment, he says.",B2
There are even restaurants,A2
Server: Is there a problem with your table?,A2
"An exception, in an audiovisual landscape where there are a lot of rules.",B1
"The incessant solicitations that we are confronted with obliges to an iron discipline.In order not to be invaded, it becomes necessary to establish rules and limits.",C2
His return was less quick than hoped for the Count of P ***.,C2
Mathematical reasoning is closer to male logic.,B2
But the dog is not the only one to learn!,B1
Adulthood crisis or rational choice?,C1
The dog needs to meet other animals.,B1
It seems that we eat well: one of the island's specialties is goat cheese.,A2
My husband is a publisher.,A1
"Descend of horse, he went along the hazelnuts and the Églantiers, followed by the two horses that the valet of stable held by the reins, went in the cracking of silence, shirtless under the midday sun, went and smiled, strange andprincely, sure of a victory.",C2
"The skill of his plan will therefore not consist in emotion or charm, in an endearing beginning or in a moving disaster, but in the skillful group of small constant facts from which the final meaning of the work will emerge.",C1
"The world's population, despite a clear slowdown, increases and could reach 9.3 billion people in 2050, and cap around 10.5 billion at the end of the 21st century.",C1
"I went to hide in a corner of the living room, behind a group of men causing.",C2
"Yes, there is a large wardrobe.",A1
"When there are social movements in France, the presence of young people, students and high school students, is often decisive.",B2
"Day of the Lord dear to the Church, it was suppressed after the Revolution of 1789, then dedicated to the gemonies by Napoleon, on the pretext that, ""the people eating on Sunday, they must be able to work on Sunday"".",C2
Things are wrong.,A2
"The parade descends the Champs-Élysées avenue, from Place de l'Étoile, alias Place Charles-de-Gaulle, to Place de la Concorde",B2
I have to work a lot but I like it,A1
"Emma dreamed on her wedding day: and she saw herself there, in the middle of the wheat, on the small path, when we walked towards the church.",C2
"On the flanks and the last of the wedding, the whole rumor village burst like a swarm",C2
"As soon as you open the door, the cat eagerly entered",C2
"Despite the 35 hours, the Bureau of Labor Statistics of the American Federal Labor Ministry establishes as well as a Frenchman produces more wealth than an Englishman, a German or a Japanese.",C1
"No more gray and dull facades, finished the ambient gloom",B2
"After having fought against the philosophy of reflection, Hegel must therefore undertake a fight against the philosophy of romanticism.",C2
But I am not quite sure to succeed.,B1
I don't really agree with what sir says.,A2
"In other words, can we be satisfied with the feeling of our freedom to deduce his certain existence",C2
