sentence,difficulty
"Généré par la sonde européenne Rosetta, le petit robot a atterri mercredi à la fin de l'après-midi sur le noyau de la comète Tchourioumov-Guérasdimenko, une première de l'histoire de l'espace.",B2
"Elle a suspendu sa lessive dans le dossier d'une chaise, elle est restée debout, tournant, examinant les meubles, frappé avec une telle stupeur, que ses larmes ne coulaient plus; il avait un sou sur les quatre sous gardé pour le laver.À l'Étienne et à Claude Window, déjà consolé, elle s'approcha, prit la tête sous ses bras, s'oublie devant cette route grise, où elle avait vu, le matin, éveillé les travailleurs, l'œuvre géante de Paris;Cette heure, le trottoir chauffé par les travaux du jour a allumé une réverbération ardente au-dessus de la ville, derrière le mur de la subvention; c'était sur ce trottoir, dans cet air de fournaise, qu'il a été jeté par lui-même avec les petits et elle a misEn regardant les boulevards extérieurs, à droite, à gauche, s'arrêtant aux deux extrémités, prises d'une terreur sourde, comme si sa vie, maintenant, allait y tenir, entre un abattoir et un hôpital.",C2
"Le sérum, qui a souffert de comparaison avec ses concurrents Pfizer et Moderna, est désormais considéré comme efficace pour prévenir le risque d'hospitalisation.",C1
"J'ai identifié trois craintes de robot fondamentales: la peur instinctive du métal contre la chair, la peur sociétale, presque désespérée du robot qui volera le travail de l'homme et, enfin, la peur de l'identité de voir le robot dépasser les capacités usintellectuelles ou autres.",C2
Mais d'autres peuvent préférer l'assassin des échecs ou les annales du Kangourou (éditions du Kangarou).,C2
Allez-vous faire de la randonnée?,B1
Il y a plus de 50 pays français!,A1
Ils ont déjà l'obligation de les ramener à la maison.,B1
"Un autre: oui, ils ont reçu des noms",A2
Vous rejoindrez votre formulaire les documents et documents de support au format numérique.,B2
"Merci, faites un bon voyage.",A1
"Ce geste, presque insensible, le faisait courir, de la tête aux pieds, un grand frisson sur la peau, et, tournant fortement, il se jeta sur elle, cherchant sa bouche avec ses lèvres et la chair nue avec ses mains.",C2
Il CLABUDE avec les Esgourdes des Brown Badgers et les torsadés pasteurisés.,C2
"Avec son nouveau partenaire de quatorze ans et son plus jeune, il dit ""vivant une renaissance"".",C1
"Entre ceux qui jurent par l'introduction de l'informatique en éducation obligatoire et ceux qui ont peur que la primaire ne se transforme en une grande école d'informatique, il existe néanmoins des avenues pour initier les enseignants et promouvoir un passage de parascolaire à l'école, sans avoirs'attendre à une réforme de la base commune qui prendra des années.",C2
"Parmi les acteurs du commerce équitable, nous devons distinguer les organisations ""étiqueter"", qui certifient les canaux d'importation par produit et importateurs - grossistes, détaillants ou magasins de magasins, comme les artisans du monde - qui ont leurs propres contacts avec les producteurs et l'auto-témoignage, faute de mieux.",C1
Il peut donc ouvrir d'autres pensées et finalement devenir très gratifiant.,B2
"Ce paysan a pleuré et a affirmé qu'il avait tout pris; Fabrice lui avait donné un bouclier, et il a trouvé de l'avoine.",B2
"La première limite est que les instruments de la contingence spatiale pris en compte donnent une idée de la maîtrise ""potentielle"" de l'urbanisation, une maîtrise dérivée des possibilités fournies par le cadre juridique et stratégique dont chaque canton a mis en place.",C2
Le petit chat a plu à mes parents,A2
Se protéger contre l'altération des données et être certain qu'il n'a pas été modifié pendant leur stockage ou leur traitement contribue à la qualité de la prise de décision basée sur eux.,C2
"[.] Nous sommes des joueurs / joués3 "".",B2
"Quand j'ai lu, j'ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement.",B1
Vous avez dit la seule chose intelligente!,A2
Mon ami ne répond pas au téléphone.,A1
Mon frère Patrice est plus jeune que moi,A2
"Ils sont en vacances, ce n'est que nous sur cette partie de l'île.",B1
"Lorsqu'il y a des nuages avec de la neige qui tombe, c'est parce qu'il neigera et qu'il peut y avoir du brouillard, du risque de congélation, de glace et de la température sera très faible",B1
"Un escalier nous a conduits à une grande hauteur qui a fait le tour du bâtiment, servant une succession de bureaux.",C2
"Que vous recherchiez une annonce simple ou un recruteur, vous êtes sûr de ne manquer aucune offre d'emploi grâce à notre système d'alerte personnalisé.",B2
"Cela nous a donc coûté de l'argent, elle se met en colère.",B1
Quel est ton nom ?,A1
"Fabrice, à peine âgé, était très bien représenté la tête de la maison.",B2
"Oui, je suis à Paris depuis à peine vingt jours.",A1
"L'apprentissage du code et plus largement d'une culture numérique générale à l'école est une mesure demandée depuis longtemps par l'Académie des sciences, soutenue par des acteurs qui comptent dans le secteur numérique, comme le CNIL ou le Councildigital national, et qui apparaît mêmeDans un projet de loi de l'UMP Laure adjoint de la Raudière.",C2
Pourquoi ne pas avoir donné la serviette alors que vous aviez déjà les plans?,B1
"Quand je reviendrai, je demande à mes parents si je peux vous appeler pour vous récupérer.",A2
"La chose importante, bien sûr, pour les contribuables européens qui souhaitent annuler leur dette, est que chacun des créanciers, les créanciers soient traités de la même manière.",B2
"Même l'ambassadeur birman aux Nations Unies, Kyaw Moe Tun, s'est éclaté de manière spectaculaire avec les généraux de pose la semaine dernière en appelant à ""mettre fin au coup"".",C1
Le directeur aurait donné de nouvelles instructions au personnel.,B2
Tes yeux m'observent.,C2
De nombreux auteurs ont spéculé sur les différents aspects de la personnalité de Leonardo.,C1
"Les conséquences sur la nature sont graves, en particulier sur les océans qui, selon l'American Review Science, contiennent plus de 110 millions de tonnes de déchets plastiques.",B2
"Si sept millions de citadins rêvent de refaire leur vie dans les champs, tous ne prennent pas des mesures. ""Il y a toujours un événement déclencheur"", note le réalisateur pour tout changer.",B2
"Mon père, bien qu'il ait strictement observé des commodités externes, se permettait très souvent des remarques légères sur les liens d'amour: il les considérait comme des divertissements, sinon autorisés, au moins excusables et considérés comme le mariage seul dans une relation sérieuse.",C2
"Après tout, que l'offre-t-elle en dehors de l'ennui et une grande boule d'anxiété dans le creux du ventre?",A2
Leur pavillon adjacent à Paris était pratiquement nouveau lorsqu'ils l'avaient acheté.,B2
L'émigration galicienne sous-tend l'évolution de la population et l'explique en grande partie.,C1
Ces lunas sont basés dans la nature pour être presque invisibles.,C1
Les hommes croient qu'ils sont libres lorsqu'ils sont forcés ou déterminés par leur nature,C2
Il était nécessaire de changer radicalement le cours en choisissant la cuisine de qualité accessible au plus grand nombre au lieu de ce que nous nous efforçons de valeurs sûres désormais obsolètes et indigestes.,B2
"Nos prophéties disent que tant qu'il y a des bisons sauvages, nous survivrons.",C1
"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves dans ma tête",A2
"Réaffirmant que le Sénat n'avait livré à aucun chantage contrairement aux allégations du Rapporteur pour l'Assemblée nationale, a-t-il dit, au contraire, que la position de l'Assemblée élevée était une conception cohérente et constante de la société.",C1
"Quelques coups de feu partaient encore, espacés, au milieu du rire ramolli, des conversations qui ont été accordées dans un bruit glouton de mâchoires; tandis que la machine à vapeur, allant son train, sans repos ni trêve, semblait élever la voix, vibrante,ronflant, remplissant l'immense pièce. Mais aucune des femmes ne l'a entendue; c'était comme la respiration même de la maison de lavage, une respiration ardente avec les poutres du plafond le brouillard éternel qui flottait. La chaleur est devenue intolérable; Sun Rais est entréLa gauche, par les hautes fenêtres, éclairant les vapeurs fumantes de nappes d'opaling, un gris rose et un gris bleu très tendre; et, à mesure que les plaintes se levaient, le garçon de Charles est passé d'une fenêtre à une autre, a tiré de grandes stores en toile; puis il est alléDe l'autre côté, sur le côté des ombres, et ouvrit des vasistas.",C2
Quel bonheur!,A2
Nous semblons oublier que le personnel de l'environnement scolaire applique déjà cette mesure.,B2
"Une association de promotion et de développement de l'apprentissage en ligne note que si la calculatrice a ""un calcul mental supplanté, y compris pour les opérations de base, et que l'utilisation d'un ordinateur connecté à Internet pourrait facilement remplacer une partie de l'OurMory, les opérations de base ont été stockées en amont et ellegrâce à cette assimilation des connaissances de base que l'apprenant peut utiliser la calculatrice "".",C1
Tous sauf un petit oiseau.,A1
Sa santé s'est détériorée en raison d'une infection grave et ses jours sont comptés.,B2
La chose vient d'être certifiée.,B1
La nouvelle a fait sensation: ce cas de couvre-feu cache en fait une anxiété plus profonde.,B1
Je suis heureux d'annoncer que votre demande d'inscription à l'Université de Strasbourg au cours de la première année de Master Sciences and Society a été acceptée,B1
"Une grande majorité des Français sont favorables à la modification du calcul de la retraite des fonctionnaires dans le cadre de la réforme en préparation, selon une enquête publiée vendredi",C2
"De plus, les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par un succès au lycée qui ne les dévore pas.",B2
"Une fois qu'il a tout fini, Théo peut enfin aller s'amuser avant le dîner avec ses parents.",A2
"Le cinquante est un bon âge: nous gagnons en profondeur et en gentillesse, note Philippe Wattier.",C1
Les quelques chiffres publiés à ce jour donnent une idée de la dégradation du climat entre les étudiants des deux sexes.,C1
"Mais une différence apparaît à la fin des cours scolaires, les garçons profitant des filles dans cette dernière zone.",B2
Le vert par exemple est la couleur de l'herbe et les feuilles des arbres.,A1
Elle ne ressemble à aucune des filles que je connais.,A2
"Les masses liquides transportent les plus grandes espèces de mammifères connues, et peut-être qu'ils cachent les mollusques d'une taille incomparable, des crustacés effrayants à contempler, comme cela serait un hom à cent mètres ou des crabes pesant deux cents tonnes!",B2
"Il est clair que l'écart s'élargit entre les pays en développement qui, progressivement, sortent de la pénurie chronique et de ceux qui stagne ou régressent dans leur lutte contre la faim.",C1
"Une huitième édition dominée par le duel au sommet avec Alex Thomson, une poursuite réalisée par Armel depuis le 23 novembre, quarante-sept jours de haute tension qui se terminent aujourd'hui",C1
Pourquoi ne pouvons-nous pas entrer dans la pièce?,A1
À bientôt.,A2
"C'est cette comparaison, répétée tacitement et sans relâche dans la même toile, qui a introduit cette unité puissante et multiforme là-bas, car, parfois pas clairement vu par eux, de l'enthousiasme que la peinture d'Eltir a excité dans certains amateurs.",C2
Sois sérieux,B2
Béni le quidam que cela est débarrassé de cette peur originale d'échouer et de faire faux,C2
Je prends le train.,A1
"C'est dans sa lettre à Schuller, extrait de sa correspondance, que Spinoza dénonce l'illusion du libre arbitre",C2
J'ai mon petit déjeuner dans la cuisine.,A1
Il se trouve que de temps en temps de cette manière.,A2
"Alors que pendant le paléolithique, la diffusion avait divisé l'écoute en petits groupes, la tendance depuis la fin de la dernière glaciation est d'épaissir les relations dans l'ancien monde, en augmentant la main-d'œuvre et en tissant des interconnections.",C2
"Cependant, la croissance démographique concerne principalement les pays en développement, qui éprouvent aujourd'hui des problèmes de sous-alimentation et une mauvaise alimentation.",C1
Je suis dans ma chambre.,A1
Une sérénité indéniable s'est reflétée dans ses caractéristiques.,C2
Le jour de l'année correspond au 1er janvier.,A1
"Ayant envie de l'art, Yves Saint Laurent a constitué, au fil des ans, une importante collection d'objets précieux et de peintures qui ont inspiré certaines de ses créations.",C1
Ils ont suivi un chemin creux dominé des deux côtés un talus de six pieds de haut.,C2
Je ne comprends pas.,A1
"Mais, à partir de ce moment, elle n'a plus écouté; et la chorale invitée, la scène d'Ashton et de son valet, le Grand Duo dans une principale Ré, tout a passé pour elle au loin, comme si les instruments étaient devenus moins sains et lepersonnages plus éloignés; elle se souvenait des parties des cartes du pharmacien et de la promenade dans la nounou, des lectures sous la tonneSi tendre, et qu'elle avait oublié, cependant.",C2
"Et nos esprits qui reçoivent les instructions de ces organes, diversement impressionnés, comprennent, analysent et jugent comme si chacun de nous appartenait à une autre race.",C1
"Peut-être trop concret après l'époque du rêve. Aucun terminus ne semble, pour l'écrivain, pouvoir justifier d'avoir enduré tant de souffrances, ni d'encourager la rompre avec le temps de vagabondage.",C2
"«Nous explorons le meilleur chemin juridique, probablement via le système inter-américain, invoquant la déclaration des droits de l'homme de 1948.",C1
"Dans ce récit, les cours de langue au collège pourraient être remplacés de manière rentable par des sessions pour mémoriser le répertoire",C2
Je préfère un autre bijou.,A1
Il n'a pas de veste,A1
Un autre inconvénient de cette interdiction est le risque de priver des adolescents d'apprentissage sur l'utilisation motivée d'Internet et des réseaux sociaux.,B2
Le massacre est commémoré sur le drapeau de la ville de Chicago par sa première étoile rouge,B1
Je ne trouve pas la rue du Marché.,A1
"Fruit d'une pensée développée depuis la Renaissance, l'individualisme est un projet social dans lequel chacun devrait trouver les meilleures conditions de leur réalisation et de leur développement.",C1
"Cette année, pas moins de 12 millions d'élèves sont retournés à l'école.",A2
"Sébastien Granet et Hélène Lavoie, le chef, nous ont accueillis malgré un bus de visiteurs occupés",C2
Les parents qui ont du mal à couper le cordon sont surpris que leurs enfants préfèrent connecter leur boîte vocale et ne répondent pas à leurs appels.,B2
"C'est pourquoi nous demandons aujourd'hui que le président de la République tient sa parole et ses sous-marins, `` sans filtre '', les propositions de la Convention dans le référendum, au Parlement ou à la demande de réglementation réglementaire.",C1
Je ne trouve pas mes clés de maison.,A1
"Les industriels polluent l'eau, l'air et les sols avec leurs produits toxiques.",B2
Il met son plus beau costume et son chapeau,B1
"Premièrement, la dernière élection présidentielle, où le vote pour le Front national était autant le travail des jeunes électeurs que de leurs aînés.",B2
"Selon une enquête publiée en mai dernier par BVA (French Surveration Society) et le syntec numérique (Fédération professionnelle du secteur informatique) favorable à la mesure, 87% des Français conviennent même que la programmation informatique soit enseignée à l'école (24%de l'école primaire, 41% du collège).",C2
Les parents de banlieue se sont organisés pour les devoirs des enfants.,A2
Vous attendez la surprise que vos parents vous aient promis,C2
"Le duo n'a pas grand-chose en commun, à part ses positions relativement conservatrices, ce qui lui a valu la colère des progressistes.",B2
"Cependant, sur les 6 000 langues qui existent actuellement dans le monde, la moitié compte moins de 10 000 conférenciers et un quart de moins de 1 000.",C1
Les passants semblent moins pressés et s'attardent plus facilement devant une vitrine ou sur les étagères.,B2
À qui appartient le chien qui aboie la nuit et le jour?,B1
Elle peut parler anglais et espagnol,A1
Ce phénomène est l'apparition d'une génération sans précédent.,B2
"Après l'atmosphère de luxe, ici c'est comme un village calme",B1
"Les chiffres tirés de l'une des rares enquêtes sur le sujet, effectuée en 2000 (publié en 2001) par l'Institut de recherche sur l'économie de l'éducation avec des parents de 2 500 enfants de l'Académie.",C2
Monet a peint ce portrait rempli de sensualité et lourd de symbolisme.,C1
Elle pense à lui.,A1
"Oui, l'ouragan a frappé la Terre hier soir dans le nord du Nicaragua, il s'est ensuite étendu à plusieurs pays d'Amérique centrale",B1
Je viens de déménager dans ma nouvelle maison,A2
"Quoi qu'il en soit, tout le monde sait que pour choisir son logement idéal, cela peut prendre plusieurs mois.",B1
"Parmi les habitants de la région, il y a ceux qui veulent revenir et ceux qui ne veulent pas",A2
Nous fournissons de l'expérience et des arguments théoriques en faveur du mécanisme intramoléculaire.,C2
"Nous choisissons la date, le lieu et le projet qui nous intéressent, nous payons et nous partons!",B1
"À la campagne, c'est différent!",A2
Faire des groupes de trois personnes.,A1
"La pièce a été fissurée sous les Bravos; tout le Stutte a recommencé; les amoureux ont parlé des fleurs de leur tombe, serment, exil, décès, espoirs, et quand ils ont poussé le dernier adieu, Emma a lancé un cri aigu, qui a fusionné avec avecla vibration des derniers accords.",C2
Le président a promis qu'il tiendrait toutes ses promesses.,B1
Qu'allez-vous faire demain?,B1
Où est le supermarché?,A1
Il a donné cette feuille à l'alouette et lui a ordonné de le laisser tomber sur la tête du dragon.,A2
Je vous conseille d'écouter cette histoire deux fois avant de passer à autre chose.,A2
"Après 22 ans de vie parisienne, cet ancien concepteur-graphiste a décidé de se consacrer à sa passion permanente: la cuisine",C1
Je ne veux plus le voir parce que nous avons discuté la dernière fois que nous nous sommes vus.,A2
"En France, si je parle anglais à mon fils, Mathias, il a plutôt répondu en français.",B1
Nous les mangeons ensemble le samedi soir.,A1
"Cela signifie ""pompiers""",C1
Les années 60 sont jeunes.,B2
"Et le vieux chef a toujours raison, car c'est le seul à parler aux dieux.",B1
J'ai essayé de vous joindre il y a une heure.,A2
Cela nécessite de l'équipement et suffisamment d'espace.,B2
J'ai soif.,A1
Leonardo da Vinci a eu de nombreux amis reconnus dans leurs domaines respectifs ou qui ont eu une influence importante sur l'histoire.,B2
"L'incarnation nous met en présence de l'immuable qui est en soi quelque chose de général; et cet immuable portant le caractère de l'individualité, ce personnage devient quelque chose d'universel.",C2
Avez-vous une réduction?,A1
"Je n'aime pas la pluie, surtout pendant les vacances.",A1
Je serai ravi de vous accueillir.,A2
Le petit chat plaît à mes parents.,A2
"Alors que l'enfant séparé de sa mère le trouve dans son ""couette"" un moyen de se rassurer, le smartphone, l'objet de transition, ne permettrait-il pas de lutter contre les frustrations et les effets négatifs causés par le monde social?",C2
Twitter interdire les utilisateurs en cas de désinformation répétée sur les vaccins.,B2
"C'est, plus généralement et incontestablement, le meilleur joueur du monde.",B1
"Cette ""fin des grandes histoires"" est en grande partie que lorsque les lieux étaient classés par étapes - la succession des méthodes de production marxiste représentait la version la plus formalisée, mais parler de sous-développement ou de décollage était dans le même paradigme évolutif.",C2
"Ici, le travail est une punition divine, imposée par Dieu aux hommes pour les punir de leur désobéissance",C2
"Même sans nécessairement se considérer comme un «cyberaddict», tout le monde peut s'inspirer de ces techniques pour leur tirer des conseils.",C2
Ils ne sont pas chers,A1
"Je sais qu'elle vit seule avec son père, mais je ne lui ai jamais demandé pourquoi.",B1
"Ces deux étapes ne sont pas caractérisées la difficulté rencontrée par le couple devant les choix imposés par l'éducation de leurs enfants (école, religion, langue.).",C2
"Ainsi, la patience inaltérable des robots des enseignants en Corée du Nord et au Japon convient aux enfants autistes, mais personne ne sait comment les autres enfants évolueront qui n'apprendront pas à composer avec les humeurs d'un enseignant humain.",C1
La communauté scientifique n'apprécie pas la présence de femmes.,B2
Les vieilles générations sont beaucoup plus conservatrices que les jeunes générations.,B2
Êtes-vous à la maison ?,A1
Quand les rencontrer?,A2
"Entre ceux qui ne jurent que par l'introduction d'ordinateurs en tant qu'éducation obligatoire, et ceux qui ont peur que la primaire ne soit transformée en préparation à l'école 42, il y a néanmoins des avenues pour initier les enseignants et promouvoir un passage de parascolaire à l'école, sans avoir à s'attendre à s'attendreUne réforme de la base commune qui prendra des années.",C2
Un message d'urgence pour les pompiers vient de tomber:,A2
J'étais donc un lycéen et un pompier en même temps.,A2
Une presse de journaliste artistique a interviewé Agathe sur la performance dans laquelle elle a participé.,B2
Je ne pense pas que les enfants réussiront.,A2
Il est vrai qu'ils sont très bons mais j'ai peur qu'il tombe malade,B1
"C'est bien pour samedi, je viens avec ma sœur Katrine.",A1
"Les cyanobactéries se distinguent des bactéries par la présence de chlorophylle A et de pigments accessoires solubles, de phycobilines rouges et bleues.",C1
"Ceux-ci influenceront la recherche scientifique vers le milieu du XVIIe siècle: et il peut être, me semble-t-il, d'attribuer au Grand Naturaliste Réaumur le mérite d'avoir suscité les premières conséquences expérimentales dans sa recherche sur la vie de l'extension chez les insectes.",C2
"Même à l'université, les études sont trop ciblées et seulement 5% des étudiants qui ont un doctorat occuperont une fonction académique.",C2
"Et si boire chaud donne chaud, c'est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.",B1
"Le soir, vous devez revenir en prenant le même chemin que le matin",A2
Je suis vraiment plus dans le flux,A2
L'élastique a été distendu.,B1
Cet auteur a ainsi lu pour sa grammaire impertinente propose également des jeux à lire rapidement (retz),C2
Des coutumes similaires ont existé autrefois en particulier à Finistère: les enfants se sont amusés à creuser des betteraves au moment de la journée de tous les saints pour effrayer les gens dans les environs,B2
"Elle ressemble à un bébé tigre, mais c'est un tigre qui a très peur.",A2
"De nombreux indicateurs lui permettent de suivre l'évolution de la situation, et à mesure que l'épidémie se propage, de nouveaux outils deviennent nécessaires pour avoir une vision mondiale de la situation.",C1
Alice a un chien.,A1
Pierre qui roule n'amasse pas mousse,C1
Elle n'était pas là.,A1
Réponses aux questions que vous posez sur vous-même et les autres.,A2
"Cependant, le responsable des services nous a confirmé que les conditions de réception et de délivrance de vos documents administratives étaient respectées conformément aux normes établies par notre ministère",C2
Tous les jeunes?,A2
"Il avait pris sa belle valise verte qu'il transportait depuis vingt ans, pour passer cinq jours de vacances près de Vannes dans son vieil ami Sylvaine qu'il a beaucoup vu avant de vivre à Valenienne",B1
"Ensuite, nous irons au cinéma du quartier qui organise chaque année des sessions spéciales",C1
Les résultats de deux études sur les mesures utilisées par les entreprises pour évaluer leur capital intellectuel,C2
Toute la ville s'est éclairée autour du marché de Noël qui enchante les passants - par ses illuminations qui se réchauffent les cœurs en hiver froid,B2
"Si vous êtes intéressé, appelez-moi.",A1
"Retraite, les Quinquas d'aujourd'hui l'imaginent actif, nécessairement actif.",C1
Mon père avait un changement pour venir travailler à Paris.,A1
"Vous pouvez également aller au théâtre, aux musées ou au cinéma",A1
"Je suis toujours au bureau, je vais revenir plus tard.",A1
Nous allons manger dans le jardin.,A1
"Il aurait vidé un baril entier, lui semblait-il; il aurait mangé un bœuf, étranglé un lion.",B2
"Une feuille tirée d'un arbre de paradis, sur lequel est écrit un mot en lettres d'or par le père éternel.",A2
"Ne vous inquiétez pas, vous allez vous habituer rapidement à votre nouvelle vie.",A2
Les réseaux sociaux font l'objet d'un paradoxe incroyable.,B2
"Il s'agit d'un enrichissement culturel, car l'enfant peut ensuite s'ouvrir, à travers cette langue différente, à des caractéristiques typologiques présentes dans de nombreuses autres langues, sur lesquelles le bilinguisme français de Breton offre un accès indirect",C2
Vous avez bien étudié et vous avez réussi facilement.,A2
Le journal n'a pas expliqué comment ce prisonnier s'est échappé.,B1
"Il ne la connaît pas bien, alors il demande à ses autres collègues",A1
L'anecdote est révélatrice.,B2
